BUSINESSNAME,BUSINESSTYPECATEGORYDESC,BUSINESSTYPEDESCRIPTION,LOCATIONADDRESSLINE1,LOCATIONADDRESSLINE2,LOCATIONCITY,LOCATIONSTATE,LOCATIONZIP,LOCATIONCOUNTY,VOICEPHONE,WEBSITE,EMAILADDRESS,LOCATIONLAT,LOCATIONLONG,ACTIVESTATUSFLAG,CREDENTIALSTATUS,LICENSEDBEDTOTAL,CERTIFIEDBEDTOTAL,DATASOURCE
"Avamar Center For Endoscopy, Inc",Ambulatory Surgical Facility (ASF/ASP),L6  AMBULATORY SURGICAL FACILITY,9225 East Market Street,,Warren,OH,44484,Trumbull,(330)372-7470,,Bsteinbeck@Avamargastro.Com,41.237251,-80.723144,True,ACTIVE,4.0,0.0,OHAL
"Avamar Center For Endoscopy, Inc",Ambulatory Surgical Facility (ASF/ASP),15 ASC,"9225 East Market Street, Suite 200",,Warren,OH,44484,Trumbull,(330)372-7470,,,41.237251,-80.723144,True,ACTIVE,,,OHAL
"Avamar Center For Endoscopy, Inc.",Ambulatory Surgical Facility (ASF/ASP),AS - Ambulatory Surgery,9225 East Market Street,Suite 200,Warren,OH,44484,Trumbull,(330) 372-7470,,Derrett@Avamargastro.Com,41.237280,-80.723498,True,Active,,,PharmacyBoard
"Lippy Surgery Center, Llc",Ambulatory Surgical Facility (ASF/ASP),15 ASC,3893 East Market Street,,Warren,OH,44484,Trumbull,(330)856-1272,,,41.237096,-80.769398,True,ACTIVE,,,OHAL
"Lippy Surgery Center, Llc",Ambulatory Surgical Facility (ASF/ASP),AS - Ambulatory Surgery,3893 E. Market Street,,Warren,OH,44484,Trumbull,(330) 856-4000,,Lisaw@Lippysurgerycenter.Com,41.237179,-80.768116,True,Active,,,PharmacyBoard
"Lippy Surgery Center, Llc",Ambulatory Surgical Facility (ASF/ASP),L6  AMBULATORY SURGICAL FACILITY,3893 East Market Street,,Warren,OH,44484,Trumbull,(330)856-1272,,Lisaw@Lippysurgerycenter.Com,41.237096,-80.769398,True,ACTIVE,3.0,0.0,OHAL
Ohio Endovascular Llc,Ambulatory Surgical Facility (ASF/ASP),AS - Ambulatory Surgery,1950 Niles Cortland Rd Ne Ste 12,,Warren,OH,44484,Trumbull,(304) 374-7754,,Hmvitvitsky@Gmail.Com,41.265199,-80.740687,True,Active,,,PharmacyBoard
St Mina Interventional Pain Center Inc,Ambulatory Surgical Facility (ASF/ASP),15 ASC,1621 East Market Street Suite B,,Warren,OH,44483,Trumbull,(330)367-5188,,,41.236644,-80.796140,True,ACTIVE,,,OHAL
"St Mina Interventional Pain Center, Inc",Ambulatory Surgical Facility (ASF/ASP),L6  AMBULATORY SURGICAL FACILITY,"1621 E Market St, Suite B",,Warren,OH,44483,Trumbull,(330)367-5188,,Minacenter1621@Yahoo.Com,41.236644,-80.796140,True,ACTIVE,2.0,0.0,OHAL
St. Joseph Health Center Howland Surgery Center,Ambulatory Surgical Facility (ASF/ASP),AS - Ambulatory Surgery,1934 Niles-Cortland Road N.E.,,Warren,OH,44484,Trumbull,(330) 609-7874,,Karen_Tyler@Mercy.Com,41.264183,-80.740688,True,Active,,,PharmacyBoard
St. Mina Interventional Pain Center,Ambulatory Surgical Facility (ASF/ASP),AS - Ambulatory Surgery,Dba Mina Pain Center 1621 E. Market Street,Suite B,Warren,OH,44483,Trumbull,330-367-5188,,Minacenter1621@Yahoo.Com,41.255700,-80.809800,True,Active,,,PharmacyBoard
"Warren Gastrointestinal Endoscopy Center, Inc",Ambulatory Surgical Facility (ASF/ASP),L6  AMBULATORY SURGICAL FACILITY,1622 East Market Street,,Warren,OH,44483,Trumbull,(330)399-7215,,Patinarichmond@Gmail.Com,41.236378,-80.795765,True,ACTIVE,4.0,0.0,OHAL
"Warren Gastrointestinal Endoscopy Center, Inc",Ambulatory Surgical Facility (ASF/ASP),15 ASC,1622 East Market Street,,Warren,OH,44483,Trumbull,(330)399-7215,,Patinarichmond@Gmail.Com,41.236378,-80.795765,True,ACTIVE,,,OHAL
"Csl Plasma, Inc.",Blood Bank,BB - Blood Bank,2093 Elm Rd Ne,,Warren,OH,44483,Trumbull,(330) 787-8356,,Affairs.Regulatory@Cslplasma.Com,41.253963,-80.792008,True,Active,,,PharmacyBoard
"Csl Plasma, Inc",CLIA,2P  PLASMAPHERSIS,2093 Elm Road Ne,,Warren,OH,44483,Trumbull,(561)912-3068,,Affairs.Regulatory@Cslplasma.Com,41.253779,-80.792371,True,ACTIVE,,,OHAL
Obrien Memorial Nursing Home,CLIA,22 CLIA '88 LAB,563 Brookfield Ave Se,,Masury,OH,44438,Trumbull,(330)448-2557,,,41.228655,-80.526408,True,ACTIVE,,,OHAL
"Steward Trumbull Memorial Hospital, Inc",CLIA,22 CLIA '88 LAB,1350 East Market Street,,Warren,OH,44483,Trumbull,(330)240-9547,,,41.236313,-80.799486,True,ACTIVE,,,OHAL
First Step Recovery,Chemical Treatment,CT - Chemical Treatment,2400 Parkman Rd Nw,,Warren,OH,44485,Trumbull,(330) 369-8022,,Jennifer.Clay@Fsrohio.Com,41.222747,-80.784900,True,Active,,,PharmacyBoard
